#OTU ID	recip.220.WT.OB1.D7	recip.290.ASO.OB2.D1	recip.389.WT.HC2.D21	recip.391.ASO.PD2.D14	recip.391.ASO.PD2.D21	recip.391.ASO.PD2.D7	recip.400.ASO.HC2.D14	recip.401.ASO.HC2.D7	recip.403.ASO.PD2.D21	recip.411.ASO.HC2.D14	recip.411.ASO.HC2.D21	recip.411.ASO.HC2.D49	recip.412.ASO.HC2.D14	recip.412.ASO.HC2.D7	recip.413.WT.HC2.D7	recip.456.ASO.HC3.D49	recip.458.ASO.HC3.D21	recip.458.ASO.HC3.D49	recip.459.WT.HC3.D14	recip.459.WT.HC3.D21	recip.459.WT.HC3.D49	recip.460.WT.HC3.D14	recip.460.WT.HC3.D21	recip.460.WT.HC3.D49	recip.460.WT.HC3.D7	recip.461.ASO.HC3.D21	recip.461.ASO.HC3.D49	recip.461.ASO.HC3.D7	recip.462.WT.PD3.D14	recip.462.WT.PD3.D21	recip.462.WT.PD3.D49	recip.462.WT.PD3.D7	recip.463.WT.PD3.D14	recip.463.WT.PD3.D21	recip.463.WT.PD3.D7	recip.464.WT.PD3.D14	recip.465.ASO.PD3.D14	recip.465.ASO.PD3.D7	recip.466.ASO.PD3.D7	recip.467.WT.HC3.D49.a	recip.467.WT.HC3.D49.b	recip.536.ASO.PD4.D49	recip.537.WT.PD4.D21	recip.538.WT.PD4.D21	recip.539.ASO.PD4.D14	recip.539.ASO.PD4.D7	recip.540.ASO.HC4.D14	recip.540.ASO.HC4.D7
ASV_1	64	116	324	215	326	79	226	150	280	323	376	182	519	191	674	121	47	125	1070	221	1085	148	257	0	233	1108	584	174	870	940	929	869	598	1092	414	643	1058	632	744	179	1217	1109	737	819	622	456	1044	860
ASV_2	287	346	551	402	370	315	312	485	370	483	587	411	319	517	344	138	148	453	371	473	357	128	512	0	443	821	302	333	888	779	271	1280	526	484	937	792	584	902	333	384	458	354	773	510	963	744	570	785
ASV_3	57	351	173	304	235	54	254	85	297	166	141	22	271	83	195	23	293	197	340	495	345	110	904	0	296	457	383	179	397	376	1417	102	236	1535	105	20	1067	380	1579	21	455	481	966	792	1278	284	568	43
ASV_4	302	718	804	418	736	643	646	375	686	602	547	620	429	643	34	582	922	782	0	687	0	261	0	0	1164	0	0	1232	0	0	0	0	0	0	0	0	0	0	0	578	0	0	0	0	0	0	0	0
ASV_5	847	501	524	429	464	587	412	321	570	143	801	132	221	90	0	485	788	483	0	612	0	142	0	0	77	443	155	133	0	305	0	0	710	0	146	223	0	312	0	133	0	443	0	438	0	0	748	446
ASV_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	140	0	457	0	0	155	165	0	352	256	389	98	604	558	315	968	613	346	807	0	231	460	510	300	656	885	440	326
ASV_7	0	0	356	390	420	196	434	601	0	525	0	390	639	824	1019	0	61	0	0	0	0	0	0	14	381	0	0	377	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	0	0	0
ASV_8	11	27	76	244	100	184	23	100	0	393	31	103	267	264	317	31	35	32	191	44	204	49	40	0	215	0	77	130	0	38	10	161	18	20	294	246	16	443	0	152	52	117	0	29	0	36	53	320
ASV_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	138	0	202	0	0	318	0	0	326	314	87	523	207	181	353	273	229	357	102	0	45	122	0	230	116	190	196	316
ASV_10	99	161	259	162	180	77	97	220	64	127	310	406	307	119	96	191	164	155	0	85	0	72	0	0	173	0	0	115	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0
ASV_11	38	259	198	104	186	155	197	202	131	109	90	108	221	296	151	106	195	71	0	59	0	48	0	30	250	0	0	361	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0
ASV_12	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	81	0	104	0	284	0	0	44	39	0	260	103	140	159	34	95	63	91	173	20	214	0	241	91	219	44	319	305	58	36
ASV_13	25	5	0	0	39	0	13	6	78	43	8	0	4	28	0	0	0	5	27	0	21	17	127	0	0	22	20	0	72	43	40	235	68	84	290	39	123	212	115	0	137	76	45	56	104	300	244	324
